,ax,ay,bx,by,cx,cy,dx,dy
0,1013,905,1155,979,1055,1005,873,963
1,911,849,1013,905,873,963,777,909
2,819,797,911,849,777,909,683,861
3,723,765,819,797,683,861,595,823
4,615,745,723,765,595,823,501,785
5,559,723,615,745,501,785,415,759
6,459,699,559,723,415,759,333,729
7,371,669,459,699,333,729,257,701
8,337,645,371,669,257,701,179,675
9,221,617,337,645,179,675,71,655
10,479,565,543,581,415,603,355,583
11,543,581,611,601,487,623,415,603
12,611,601,679,619,559,643,487,623
13,679,619,747,635,635,665,559,643
14,747,635,829,659,713,687,635,665
15,829,659,901,684,797,707,713,687
16,901,684,999,703,885,735,797,707
17,999,703,1089,729,981,767,885,735
18,1089,729,1191,757,1081,797,981,767
19,1191,757,1297,785,1191,829,1081,797
20,1297,785,1395,811,1313,867,1191,829
21,1395,811,1525,843,1435,905,1313,867
22,1525,843,1657,881,1573,941,1435,905
23,1753,813,1863,859,1795,911,1657,881
24,1525,843,1753,813,1657,881,1627,779
25,1499,771,1627,779,1525,843,1395,811
26,1389,745,1499,771,1395,811,1297,785
27,1291,721,1389,745,1297,785,1191,757
28,1191,697,1291,721,1191,757,1089,729
29,1113,667,1191,697,1089,729,999,703
30,1021,653,1113,667,999,703,913,683
31,939,631,1021,653,913,683,829,659
32,869,611,939,631,829,659,747,635
33,785,594,869,611,747,635,679,619
34,722,577,785,594,679,619,611,601
35,627,563,722,577,611,601,543,581
36,587,546,627,563,543,581,479,565